Index	Tanggal	Kategori	Tema	Pertanyaan	Jawaban	Dasar Hukum	Editor
181568	15 Agustus 2022	Tanya-SC	PPh	Pemegang saham kita Orang Pribadi, nah punya saham diperusahaan tertutup, modal disetor 50.000.000 kalau dihitung dari Nilai buku, aset dikurangi kewajiban, nilai buku menjadi hak Pemegang saham 100.000.000 dia mau jual saham dia sebesar nilai buku 100jt, kepada calon pemegang saham baru, apakah terutang PPH Pak?	Pot putnya gaada kalau non bursa. nanti dikenakan pajak di dalam spt atas keuntngan penjualan saham tersebut	Pot putnya gaada kalau non bursa. nanti dikenakan pajak di dalam spt atas keuntngan penjualan saham tersebut	MUHAMMAD INDRA PRASETYO
181569	15 Agustus 2022	Tanya-SC	PPN	"Pasal 45 ayat (3) Peraturan Direktur Jenderal Pajak Nomor PER-04/PJ/2020: ""Pengusaha yang sejak semula bermaksud melakukan penyerahan yang merupakan objek pajak sesuai Undang-Undang PPN dapat melaporkan usahanya untuk dikukuhkan sebagai PKP."" Artinya sekalipun WP belum ada penyerahan, boleh memilih dikukuhkan sebagai PKP kan ya? WP nya komplain karena permohonan pengukuhannya ditolak oleh KPP setelah disurvei dengan alasan ""belum ada transaksi"", padahal dia akan melakukan penyerahan di mana lawan transaksinya minta dia nerbitin faktur"	di aturan gaada menyebutkan ya kalau gada transaksi gabisa dikukuhkan sebagai PKP. Penting memenuhi dokumen yang disyaratkan di PER 04 2020 sesuai jenis WP nya. Itu lebih ke kebijakan KPP nya masing-masing.	di aturan gaada menyebutkan ya kalau gada transaksi gabisa dikukuhkan sebagai PKP. Penting memenuhi dokumen yang disyaratkan di PER 04 2020 sesuai jenis WP nya. Itu lebih ke kebijakan KPP nya masing-masing.	MUHAMMAD INDRA PRASETYO
181570	15 Agustus 2022	Tanya-SC	PPN	https://twitter.com/Candra18172386/status/1559017942150696960 notifikasi etax-api-40012 : nota retur belum terdaftar di DKP, ini gimana ya mas/mba?	ini harus nyampaikan ke KPP pembeli terdaftar dulu rul Nota nya di PMK 65 2010 gini soalnya : Jika Pembeli BKP adalah Non-PKP, maka Nota Retur dibuat paling sedikit dalam rangkap 3 (tiga) yang peruntukkannya yaitu: (Pasal 4 ayat (7) PMK-65/PMK.03/2010) lembar ke-1: untuk PKP Penjual; lembar ke-2: untuk arsip Pembeli; lembar ke-3: untuk KPP tempat Pembeli terdaftar. lembar ke-3 ini harus disampaikan ke KPP tempat Pembeli terdaftar. fungsinya biar nota tadi didaftarkan ke sistem efaktur oleh KPPnya kalau pembelinya non PKP	ini harus nyampaikan ke KPP pembeli terdaftar dulu rul Nota nya di PMK 65 2010 gini soalnya : Jika Pembeli BKP adalah Non-PKP, maka Nota Retur dibuat paling sedikit dalam rangkap 3 (tiga) yang peruntukkannya yaitu: (Pasal 4 ayat (7) PMK-65/PMK.03/2010) lembar ke-1: untuk PKP Penjual; lembar ke-2: untuk arsip Pembeli; lembar ke-3: untuk KPP tempat Pembeli terdaftar. lembar ke-3 ini harus disampaikan ke KPP tempat Pembeli terdaftar. fungsinya biar nota tadi didaftarkan ke sistem efaktur oleh KPPnya kalau pembelinya non PKP	MUHAMMAD INDRA PRASETYO
181571	16 Agustus 2022	Tanya-SC	KUP	Selamat pagi mas mbak dan teman” izin bertanya Halo min mau tanya, CV sudah Pkp dengan usaha ayam potong (yg dibebaskan ppn) apabila CV tersebut tidak membuat faktur pajak keluaran apakah dikenakan denda min? Mengingat CV tersebut dibebaskan dari ppn, semua faktur pajak masukan kode nya 080 min, thank you min @kring_pajak kalau FP 080 tpi gabuat faktur ttep kena sanksi yg pasal 14 1% dpp kan ya? Terima kasih sebelumnya	tetep ya lan karena mau bebas atau tidak dipungut, PKP tetep wajib buat FP karena memang sudah kewajibannya untuk menerbitkan FP dan selain itu, fungsinya FP tersebut juga sebagai pertanggungjawaban pemberian fasilitas PPN. jadi kalai tidak dipenuhi kena sanksi 14 (4)	tetep ya lan karena mau bebas atau tidak dipungut, PKP tetep wajib buat FP karena memang sudah kewajibannya untuk menerbitkan FP dan selain itu, fungsinya FP tersebut juga sebagai pertanggungjawaban pemberian fasilitas PPN. jadi kalai tidak dipenuhi kena sanksi 14 (4)	MUHAMMAD INDRA PRASETYO
181572	16 Agustus 2022	Tanya-SC	Lainnya	Sehubungan dengan pendaftaran npwp saya secara online melalui situs ereg.pajak.go.id, dapat saya sampaikan bahwa pendaftaran npwp tersebut selalu terjadi kendala pada step pertama atau mengalami kegagalan, dimana pada bagian kolom nama suami tidak dapat diisi (bukti terlampir). Mohon bantuannya Bapak/Ibu agar npwp saya dapat didaftarkan segera.	ini otomatis ya mas namanya langsung keluar kalau NPWP nya benar. ini abis aku cek ternyata NPWP ini bukan OP. coba pastikan kembali NPWP suaminya ya	ini otomatis ya mas namanya langsung keluar kalau NPWP nya benar. ini abis aku cek ternyata NPWP ini bukan OP. coba pastikan kembali NPWP suaminya ya	MUHAMMAD INDRA PRASETYO
181573	16 Agustus 2022	Tanya-SC	PPh	Kalau untuk perusahaan baru (PT) yang modal (disetor) PT nya relatif besar yaitu > 10 milyar, apakah di awal operasional ketika penjualan masih sedikit (peredaran usaha kurang dari 4,8 milyar) bisa tetap menggunakan pph tarif UMKM 0,5%? secara ada peraturan perundangan yang mengklasifikasikan usaha dengan modal di ata 10 milyar adalah termasuk usaha besar (bukan UMKM)	Sebenernya wp nya bingung Karena UMKM kalau di UU UMKM itu ada batasan modal dst Sedangkan di perpajakan yang bisa pakai tarif 0,5% final sebenernya wp yang memperoleh peredaran bruto tertentu jadi gaada hubungannya dengan setoran modal.	Sebenernya wp nya bingung Karena UMKM kalau di UU UMKM itu ada batasan modal dst Sedangkan di perpajakan yang bisa pakai tarif 0,5% final sebenernya wp yang memperoleh peredaran bruto tertentu jadi gaada hubungannya dengan setoran modal.	MUHAMMAD INDRA PRASETYO
181574	16 Agustus 2022	Tanya-SC	PPN	saya mau tanya jika perusahaan A menyewakan ruko ke PT B. Ada pembayaran listrik tempat yang disewakan PT B, direkening listrik a.n PT A. Pertanyaannya apakah PT A boleh mengkreditkan PPN Listrik di unit tempat yang disewakan ?	sebenarnya secara dokumen kan tagihannya memang a.n. pemiliknya yaitu PT.A tapi terkait dengan boleh tidaknya dikreditkan, apakah hal tersebut berhubungan dengan kegiatan usaha dia atau tidak mas, jadi kembali ke pasal 9 ayat 8 UU PPN HPP kalau masalah pengkreditannya mas. Pastikan juga dia gak termasuk BKP strategis ya karena sudah pasti gabisa dikreditkan	sebenarnya secara dokumen kan tagihannya memang a.n. pemiliknya yaitu PT.A tapi terkait dengan boleh tidaknya dikreditkan, apakah hal tersebut berhubungan dengan kegiatan usaha dia atau tidak mas, jadi kembali ke pasal 9 ayat 8 UU PPN HPP kalau masalah pengkreditannya mas. Pastikan juga dia gak termasuk BKP strategis ya karena sudah pasti gabisa dikreditkan	MUHAMMAD INDRA PRASETYO
181575	16 Agustus 2022	Tanya-SC	PPN	Mengenai Per-11/PJ/2022 perubahan dari Per-03/PJ/2022, Psal 6 ayat 6. Ini bu sebelum peraturan ini kami menerapkan peraturan tersebut, karna kmi terdaftar di KPP Wajib Pajak Besar Dua, dan mempunyai NPWP Cabang (Pabrik) setiap pembelian barang akan dikrim ke cabang kami, otomatis untuk faktur pajak kami, diterbitkan NPWP Puast dan Alamat Cabang, Benar begitu kan bu, Tapi setelah berlakunya peraturan ini per 1 September apakah kami masih berlaku bu? apa hanya untuk kawasan tertentu saja yah?	untuk yang sebelum 1 september direlaksasi jadi dibiarkan aja, kalau mulai 1 september 2022 sudah harus pakai ketentuan PER 11 2022 ya fin. di kasus ini jadinya pakai NPWP pusat alamat pusat karena masuk ke yang tidak mendapat fasilitas	untuk yang sebelum 1 september direlaksasi jadi dibiarkan aja, kalau mulai 1 september 2022 sudah harus pakai ketentuan PER 11 2022 ya fin. di kasus ini jadinya pakai NPWP pusat alamat pusat karena masuk ke yang tidak mendapat fasilitas	MUHAMMAD INDRA PRASETYO
181576	16 Agustus 2022	Tanya-SC	PPh	Selamat Pagi Bapak/Ibu saya mau tanya perhitungan tenaga kerja harian tarif berlaku progresif tidak? Contoh Tuan A bulan July tenaga harian mendapat upah Rp 500ribu perhari untuk 10hari kerja. Total upah July 5juta. Status PTKP TK/0 4.5Juta pkp 500ribu Pph 21 july 25rb (500rb x 5%) Lalu bulan ags,sept,okt 22 Tuan A dapat upah trs tarif pph 21nya apakah berlaku akumulatif? mas/mbak, kalo lbh dr 10.200.000, udh pk progresif kan ya?	iya mba kalau sudah lebih dari 10.200.000 dalam 1 bulan sudah pakai progresif soalnya nanti disetahunkan cara ngitungnya.	iya mba kalau sudah lebih dari 10.200.000 dalam 1 bulan sudah pakai progresif soalnya nanti disetahunkan cara ngitungnya.	MUHAMMAD INDRA PRASETYO
181577	16 Agustus 2022	Tanya-SC	PPh	1. Jadi perusahaan A ini ga isi SPT 2020 dan 2021 , baru mau isi sekarang. Perusahaan a ini mau buat surat keterangan pp23/2018, tp gabisa krn belum isi spt 2020 dan 2021. Tp pas isi spt 2020 dan 2021, boleh ga pake pph umkm walaupun belum ada surat keterangannya? Kalo pake tarif pd 17 bukannya harus ksh notif dulu ke KPP jika peredaran bruto nya dibawah 4.8m? 2. Kalo wajib ps 17, boleh ga ksh notifnya skrg pdhl uda telat isinya?	1. penggunaan pp 23 itu gak perlu pengajuan mas. yang perlu pemberitahuan adalah kalau wp mau pakai tarif umum. jadi kalau selama ini WP gak pernah menyampaikan pemberitahuan menggunakan tarif umum dan sepanjang omsetnya masih tidak lebih dari 4,8M dalam 1 tahun wp seharusnya masih bisa menggunakan tarif pph final PP 23. suket itu untuk kepentingan Pot Put biar gak dipotong pph yang tidak final 2. ketentuannya ada di Pasal 3 PMK 99 2018 (3) Bagi Wajib Pajak yang terdaftar sejak tanggal 1 Juli 2018 sampai dengan tanggal 31 Desember 2018, Wajib Pajak dapat dikenai Pajak Penghasilan berdasarkan Ketentuan Umum Pajak Penghasilan mulai Tahun Pajak terdaftar dengan cara menyampaikan pemberitahuan paling lambat tanggal 31 Desember 2018 atau paling lambat akhir Tahun Pajak terdaftar. (4) Bagi Wajib Pajak yang terdaftar sejak tanggal 1 Januari 2019 dapat dikenai Pajak Penghasilan berdasarkan Ketentuan Umum Pajak Penghasilan mulai Tahun Pajak terdaftar dengan cara menyampaikan pemberitahuan pada saat mendaftarkan diri. jadi untuk wp yang baru terdaftar di 2019 gak diatur paling lambatnya. bisa konfirmasi ke KPP	1. penggunaan pp 23 itu gak perlu pengajuan mas. yang perlu pemberitahuan adalah kalau wp mau pakai tarif umum. jadi kalau selama ini WP gak pernah menyampaikan pemberitahuan menggunakan tarif umum dan sepanjang omsetnya masih tidak lebih dari 4,8M dalam 1 tahun wp seharusnya masih bisa menggunakan tarif pph final PP 23. suket itu untuk kepentingan Pot Put biar gak dipotong pph yang tidak final 2. ketentuannya ada di Pasal 3 PMK 99 2018 (3) Bagi Wajib Pajak yang terdaftar sejak tanggal 1 Juli 2018 sampai dengan tanggal 31 Desember 2018, Wajib Pajak dapat dikenai Pajak Penghasilan berdasarkan Ketentuan Umum Pajak Penghasilan mulai Tahun Pajak terdaftar dengan cara menyampaikan pemberitahuan paling lambat tanggal 31 Desember 2018 atau paling lambat akhir Tahun Pajak terdaftar. (4) Bagi Wajib Pajak yang terdaftar sejak tanggal 1 Januari 2019 dapat dikenai Pajak Penghasilan berdasarkan Ketentuan Umum Pajak Penghasilan mulai Tahun Pajak terdaftar dengan cara menyampaikan pemberitahuan pada saat mendaftarkan diri. jadi untuk wp yang baru terdaftar di 2019 gak diatur paling lambatnya. bisa konfirmasi ke KPP	MUHAMMAD INDRA PRASETYO
181578	16 Agustus 2022	Tanya-SC	DJP Online	untuk lawan transaksi yang tidak memiliki npwp jadinya pake ktp. di kolom B4 bukti potong masa april tarif 100% lebih tinggi nya memang tidak keluar yaa ?	dicetakannya tidak ada tandanya ya sudah dicek sendiri	dicetakannya tidak ada tandanya ya sudah dicek sendiri	MUHAMMAD INDRA PRASETYO
181579	19 Agustus 2022	Tanya-SC	E-Faktur	fp pengganti dihapus apakah normalnya jadi berubah status dari diganti menajadi normal lagi?	iya	iya	MUHAMMAD INDRA PRASETYO
181580	19 Agustus 2022	Tanya-SC	PPh	pengisian spt tahunan badan lampiran V ini pemeganga sahamnya bukan OP , dia perkumpulan jadinya gimana?	harus a.n. OP atau badan, pastkan bahwa WP merupakan entitas yang memenuhi pengertian badan jika memang bukan termasuk OP	harus a.n. OP atau badan, pastkan bahwa WP merupakan entitas yang memenuhi pengertian badan jika memang bukan termasuk OP	MUHAMMAD INDRA PRASETYO
181581	19 Agustus 2022	Tanya-SC	E-Faktur	etax API 10001 ini langkah selanjutnya apa setelah di notepad ++?	impor ke efaktur lagi csv nya	impor ke efaktur lagi csv nya	MUHAMMAD INDRA PRASETYO
181582	19 Agustus 2022	Tanya-SC	PPh	KLU pegawai PP 23 ini ada gak ya? soalnya kok saya tidak terpenuhi	wp bisa pakai pp23 tapi gaada suketnya karena harus ganti KLU kalau mau dapat suket	wp bisa pakai pp23 tapi gaada suketnya karena harus ganti KLU kalau mau dapat suket	MUHAMMAD INDRA PRASETYO
181583	19 Agustus 2022	Tanya-SC	DJP Online	mau ngisi nik gabisa di DJP Online katanya sudah terdaftar NPWP NIK nya	lasis	lasis	MUHAMMAD INDRA PRASETYO
181584	19 Agustus 2022	Tanya-SC	E-Faktur	wp mau ganti NIK di efaktur bisa pakai pengganti?	gabisa, harus pakai pembatalan kalau mengubah identitas	gabisa, harus pakai pembatalan kalau mengubah identitas	MUHAMMAD INDRA PRASETYO
181585	19 Agustus 2022	Tanya-SC	PPN	nominal di invoice dan FP beda Rp1 ini boleh gak?	Disarankan pengganti saja	Disarankan pengganti saja	MUHAMMAD INDRA PRASETYO
181586	19 Agustus 2022	Tanya-SC	KUP	tahun bukunya juni-juli. ini januari desember atau gimana ya SPT nya?	jika diawal tidak mengajukan perubahan tahun buku, maka tetap januari desember	jika diawal tidak mengajukan perubahan tahun buku, maka tetap januari desember	MUHAMMAD INDRA PRASETYO
181587	30 April 2022	Tanya-SC	DJP Online	Selamat SIang saya mau bertanya perihal PELAPORAN SPT TAHUNAN Badan say sudah mendapatkan token dan ketika memasukannya disebutkan invalid tokennya. dan saya mau minta lagi tetapi tidak pernah ada pengiriman email lagi ataupun ke nomor handphone	Bisa kasih layanan informasi token saja , mba	Bisa kasih layanan informasi token saja , mba	FATHDITYA FALAQI
181588	30 April 2022	Tanya-SC	DJP Online	wp menggunakan eform. sudah ambil format di pajak.go.id/e-form. ketika input data pembayaran, muncul notif berikut. mohon solusi	Setelah dipastikan WP menggunakan eform tapi ingin lapor di menu upload CSV di efilling . Diarahkan melakukan pelaporan SPT dgn submit melalu eform SPTnya langsung .	Setelah dipastikan WP menggunakan eform tapi ingin lapor di menu upload CSV di efilling . Diarahkan melakukan pelaporan SPT dgn submit melalu eform SPTnya langsung .	FATHDITYA FALAQI
181589	28 April 2022	Tanya-SC	PPh	"saya mau tanya soal pelaporan spt badan, jika perusahaan berdiri pada oktober 2021 tetapi modal disetorkan pada februari 2022, apa harus di masukan di laporan keuangan untuk pelaporan spt badan 2021?"" Ini disesuaikan akuntansi secara umum kah? klo pengakuannya 2021 berarti masuk ke 2021 ya?"	Betul , arahkan mengikuti PSAK	Betul , arahkan mengikuti PSAK	FATHDITYA FALAQI
181590	28 April 2022	Tanya-SC	E-Faktur	bulan lalu saya dapat dari supplier ttg Faktur kode 080 masih pakai Stamp PPN DIBEBASKAN SESUAI PP NOMOR 12 TAHUN 2001 tapi bulan ini stamp kotak tersebut tidak ada. apakah ada peraturan terbaru sehinga sudah tidak mencantumkan Stamp Kotak di Faktur 080?	PP 12/2001 sudah dicabut oleh PP 81/2015 yg berlaku sejak 2 nov 2015 . Jika FP yg dibuat baru saja kemarin masih pakai kode cap yg lama , bisa minta FP Pengganti ke Penjual , sebelumnya penjual suruh sinkronisasi kode cap dulu .	PP 12/2001 sudah dicabut oleh PP 81/2015 yg berlaku sejak 2 nov 2015 . Jika FP yg dibuat baru saja kemarin masih pakai kode cap yg lama , bisa minta FP Pengganti ke Penjual , sebelumnya penjual suruh sinkronisasi kode cap dulu .	FATHDITYA FALAQI
181591	28 April 2022	Tanya-SC	DJP Online	apakah eform sedang error? Sudah minta token berkali2 tetap selalu memproses. Cek di monitoring juga gaada. Ada wp juga kirim spt gagal terus, infonya data spt tidak valid. Sudah coba langkah2 ini, tetap gabisa. Gimana ya mas/mba?	"Rekap Error Submit SPT Tidak Valid Diupdate berkala Jika submit e-Form mengalami SPT Tidak Valid, Silakan lakukan pengecekan penyebab permasalahan, antara lain : 1. Tidak boleh ada angka desimal kecuali 1771 USD 2. Tidak boleh ada ampersand (&) 3. Tahun Pajak harus 4 Digit di Lamp khusus 1A 4. Tanggal harus menggunakan format DD/MM/YYYY 5. Pilihan tarif harus dipilih 6. Pada Penyusutan harus memilih Garis Lurus bukan GL atau Saldo Menurun bukan SM 7. Tidak boleh ada karakter double quote ( "" ) 8. KLU harus terisi / Bukan KLU error 9. Cek alamat direksi / pemegang saham di lampiran V. Hapus karakter seperti , . / "" dll 10. Jumlah karakter di alamat / pemegang saham lebih dari 100 karakter"	"Rekap Error Submit SPT Tidak Valid Diupdate berkala Jika submit e-Form mengalami SPT Tidak Valid, Silakan lakukan pengecekan penyebab permasalahan, antara lain : 1. Tidak boleh ada angka desimal kecuali 1771 USD 2. Tidak boleh ada ampersand (&) 3. Tahun Pajak harus 4 Digit di Lamp khusus 1A 4. Tanggal harus menggunakan format DD/MM/YYYY 5. Pilihan tarif harus dipilih 6. Pada Penyusutan harus memilih Garis Lurus bukan GL atau Saldo Menurun bukan SM 7. Tidak boleh ada karakter double quote ( "" ) 8. KLU harus terisi / Bukan KLU error 9. Cek alamat direksi / pemegang saham di lampiran V. Hapus karakter seperti , . / "" dll 10. Jumlah karakter di alamat / pemegang saham lebih dari 100 karakter"	FATHDITYA FALAQI
181592	28 April 2022	Tanya-SC	E-Faktur	kalau efakturnya erorr seperti ini setelah update, bagaimana ya mas/mbak?loading terus	"Ini WP setelah update , menu untuk loginnya tidak muncul ya ? Jika Iya , - Arahkan dulu WPnya untuk menconfig ramnya dulu , Mba , Dgn cara : 1. buka file bernama ""mem_config.bat"" pada folder efaktur 3.2 2. pada akhir kalimat ""Besar Maximum Memory yang digunakan dalam MegaByte? [Kosongkan untuk AutoSet]"" ketikkan nominal jumlah RAM khusus untuk menjalankan efaktur. Jumlah nominal yang disarankan adalah total RAM yang dimiliki dikurangi 2-3 GB, jika memiliki 4GB maka RAM yang diberikan adalah 2000, atau bila memiliki 8GB maka RAM yang diberikan 5000/6000. 3. kemudian enter 4. setelah kalimat ""Apakah anda ingin menjalankan aplikasi EFaktur? [Y/n]"" tulis ""n"" lalu enter - Kemudian silakan buka efaktur dekstop dgn cara : klik kanan -run administrator ."	"Ini WP setelah update , menu untuk loginnya tidak muncul ya ? Jika Iya , - Arahkan dulu WPnya untuk menconfig ramnya dulu , Mba , Dgn cara : 1. buka file bernama ""mem_config.bat"" pada folder efaktur 3.2 2. pada akhir kalimat ""Besar Maximum Memory yang digunakan dalam MegaByte? [Kosongkan untuk AutoSet]"" ketikkan nominal jumlah RAM khusus untuk menjalankan efaktur. Jumlah nominal yang disarankan adalah total RAM yang dimiliki dikurangi 2-3 GB, jika memiliki 4GB maka RAM yang diberikan adalah 2000, atau bila memiliki 8GB maka RAM yang diberikan 5000/6000. 3. kemudian enter 4. setelah kalimat ""Apakah anda ingin menjalankan aplikasi EFaktur? [Y/n]"" tulis ""n"" lalu enter - Kemudian silakan buka efaktur dekstop dgn cara : klik kanan -run administrator ."	FATHDITYA FALAQI
181593	28 April 2022	Tanya-SC	PPN	untuk mendapatkan fasilitas PPN tidak dipungut salah satunya harus membuat PPBJ. apakah ini juga berlaku untuk penyerahan jasa? kalau iya, untuk jasa HS Codenya berapa?	Apakah yg dimaksud Fasilitas PPN tidak dipungut atas penyerahan Jasa Kena Pajak tertentu oleh pengusaha di TLDDP yang dihasilkan di TLDDP untuk dimanfaatkan di KPBPB oleh Pengusaha di KPBPB ? Jika iya , Maka memerlukan PPBJ sesuai pasal 29 ayat 1 dan 30 PMK 173/PMK.03/2021. HS code digunakan untuk pengklasifikasian barang saja . Jika WP ada kendala terkait pengisian PPBJ, bisa konsultasi ke contact center INSW .	Apakah yg dimaksud Fasilitas PPN tidak dipungut atas penyerahan Jasa Kena Pajak tertentu oleh pengusaha di TLDDP yang dihasilkan di TLDDP untuk dimanfaatkan di KPBPB oleh Pengusaha di KPBPB ? Jika iya , Maka memerlukan PPBJ sesuai pasal 29 ayat 1 dan 30 PMK 173/PMK.03/2021. HS code digunakan untuk pengklasifikasian barang saja . Jika WP ada kendala terkait pengisian PPBJ, bisa konsultasi ke contact center INSW .	FATHDITYA FALAQI
181594	28 April 2022	Tanya-SC	PPN	https://twitter.com/novalinafrans23/status/1519571696948486144	Apakah yg WP tanyakan terkait pengisian kolom Pos Tarif/HS Code di PPBJ ? Jika Iya , Terkait pengisian PPBJ silakan konfirmasi ke contact center INSW atau contact center bravo BC ya , Mas .	Apakah yg WP tanyakan terkait pengisian kolom Pos Tarif/HS Code di PPBJ ? Jika Iya , Terkait pengisian PPBJ silakan konfirmasi ke contact center INSW atau contact center bravo BC ya , Mas .	FATHDITYA FALAQI
181595	27 April 2022	Tanya-SC	E-Faktur	Mas/Mbak. WP ada LB dari bulan sebelumnya yang sudah di input di lampiran AB. Namun setelah centang dan input sertel, nilai lebih bayar gak masuk di perhitungan di IIC. Solusinya gimana ya, mas/mbak? sudah c3l tetep gabisa.	Efaktur web based . Lampiran AB di Induk , Kompensasi dari masa pajak sebelumnya tidak muncul di induk , yg lain muncul . Bagaimana ? Jawab : 1. Melakukan Clear Cache 2. Menghapus Semua Sertel di Browser 3. Unduh ulang sertel melalui enofa Online 4. Tutup Browser 5. Impor Sertel kembali ke Browser yang digunakan 6. Akses kembali menu efaktur Web. Buka spt, (Untuk case kalau ada kompen lb dr masa sebelumnya yg tidak masuk spt ke induk) maka ke lampiran 1111AB, 0 kan dulu yg kompensasi kelebihan dr masa pajak sblmnya, simpan trus input lg nilai kompensasi LB, simpan. Kemudian cek lg spt induk. Pastikan semua data kelengkapan spt sudah terchecklist. 7. Sarankan kepada WP agar tidak menyimpan (bookmark) halaman eFaktur Web. 8. Jika tetap tidak bisa bisa arahkan hapus spt pembetulan tsb kemudian posting ulang yak	Efaktur web based . Lampiran AB di Induk , Kompensasi dari masa pajak sebelumnya tidak muncul di induk , yg lain muncul . Bagaimana ? Jawab : 1. Melakukan Clear Cache 2. Menghapus Semua Sertel di Browser 3. Unduh ulang sertel melalui enofa Online 4. Tutup Browser 5. Impor Sertel kembali ke Browser yang digunakan 6. Akses kembali menu efaktur Web. Buka spt, (Untuk case kalau ada kompen lb dr masa sebelumnya yg tidak masuk spt ke induk) maka ke lampiran 1111AB, 0 kan dulu yg kompensasi kelebihan dr masa pajak sblmnya, simpan trus input lg nilai kompensasi LB, simpan. Kemudian cek lg spt induk. Pastikan semua data kelengkapan spt sudah terchecklist. 7. Sarankan kepada WP agar tidak menyimpan (bookmark) halaman eFaktur Web. 8. Jika tetap tidak bisa bisa arahkan hapus spt pembetulan tsb kemudian posting ulang yak	FATHDITYA FALAQI
181596	27 April 2022	Tanya-SC	PPN	kalo WP PPN KB salah setor harusnya 10jt jadi 12jt apakah bisa dimasukkan saja di kolom PPN disetor dimuka?	Bisa , Vin Yg diinputkan di PPN disetor dimuka langsung 12 jtnya ya . Jadi , nanti akan muncul LB 2 jt .	Bisa , Vin Yg diinputkan di PPN disetor dimuka langsung 12 jtnya ya . Jadi , nanti akan muncul LB 2 jt .	FATHDITYA FALAQI
181597	27 April 2022	Tanya-SC	PPN	mas/mba pasal 16b ayat 1a huruf j angka 1 uu ppn sttd uu hpp itu termasuk daging ga ya?	Sesuai Penjelasan Pasal 16 B , daging, yaitu daging segar yang tanpa diolah, tetapi telah melalui proses disembelih, dikuliti, dipotong, didinginkan, dibekukan, dikemas atau tidak dikemas, digarami, dikapur, diasamkan, diawetkan dengan cara tidak dikemas, digarami, dikapur, diasamkan, diawetkan dengan cara lain, dan/atau direbus termasuk barang kebutuhan pokok yg mendapatkan fasilitas PPN dibebaskan . Terkait kriteria lebih lanjut dan teknis pembebasannya silakan ditunggu aturan turunannya . Sesuai Lampiran PER 03/PJ/2022 , Untuk Faktur Pajak untuk PPN yg mendapatkan fasilitas dibebaskan menggunakan kode FP 08 .	Sesuai Penjelasan Pasal 16 B , daging, yaitu daging segar yang tanpa diolah, tetapi telah melalui proses disembelih, dikuliti, dipotong, didinginkan, dibekukan, dikemas atau tidak dikemas, digarami, dikapur, diasamkan, diawetkan dengan cara tidak dikemas, digarami, dikapur, diasamkan, diawetkan dengan cara lain, dan/atau direbus termasuk barang kebutuhan pokok yg mendapatkan fasilitas PPN dibebaskan . Terkait kriteria lebih lanjut dan teknis pembebasannya silakan ditunggu aturan turunannya . Sesuai Lampiran PER 03/PJ/2022 , Untuk Faktur Pajak untuk PPN yg mendapatkan fasilitas dibebaskan menggunakan kode FP 08 .	FATHDITYA FALAQI
181598	27 April 2022	Tanya-SC	PPN	tanya mas/mba, untuk pemberitahuan kembali pkp yang batas pemusatan ppn-nya udah selesai itu saat ini diperpanjang otomatis sesuai yang disebutkan dalam pasal 12 PER 11 tahun 2020 ya?	Betul dev pasal 12 tsb masih berlaku krn belum ada pencabutan keadaan kahar covid dari pemerintah	Betul dev pasal 12 tsb masih berlaku krn belum ada pencabutan keadaan kahar covid dari pemerintah	FATHDITYA FALAQI
181599	27 April 2022	Tanya-SC	PPN	mas mbak jika perusahaan pemusatan ppn, dan pusatnya terdaftar di kpp madya, maka untuk pemusatannya, tidak perlu mengirimkan formulir perpanjangan pemusatan lagi ya, namun akan secara jabatan diperpanjang	Kan ketika WP dipindah di madya itu kan pakai KEP , mas KEP itu berfungsi juga sbg surat keputusan pemusatan . Jadi, untuk pemusatan dia skrg pakai surat keputusan pemusatan sesuai PER 07/PJ/2020 sttd PER 05/PJ/20221 yg berupa KEP tsb . Untuk pemusatan sesuai PER 07/2020 sttd PER 05/2021 tidak ada mekanisme perpanjangan . Selama belum dipindah ke KPP Pratama maka tetap pemusatan .	Kan ketika WP dipindah di madya itu kan pakai KEP , mas KEP itu berfungsi juga sbg surat keputusan pemusatan . Jadi, untuk pemusatan dia skrg pakai surat keputusan pemusatan sesuai PER 07/PJ/2020 sttd PER 05/PJ/20221 yg berupa KEP tsb . Untuk pemusatan sesuai PER 07/2020 sttd PER 05/2021 tidak ada mekanisme perpanjangan . Selama belum dipindah ke KPP Pratama maka tetap pemusatan .	FATHDITYA FALAQI
